Names	total	elements
		HDGF
		STX16
		KHDRBS1
		MAGED2
		CLPP
		NDFIP1
		PRKAG1
		RAB7A
		ITPR3
		UBE2G1
		ADCY7
		CYCS
		ARL2
		MSH3
		RNF14
		OAZ2
		ACSL3
		UTRN
		INTS6
		USP32P2
		FAM63B
		MSH6
		TRIM2
		YWHAQ
		HMGN4
		EFHC1
		EZR
		ATF1
		NDUFC1
		DHX15
		MARK3
		TCF4
		FXN
		PBX1
		LACTB2
		YWHAZ
		YIPF6
		PPL
		CCZ1B///CCZ1
		SEC63
		TIMM17A
		SEC13
		FYN
		ERCC1
		LRRC42
		DUSP14
		ZNF271P
		CSPP1
		MAP1LC3B
		KRT8
		TMX2-CTNND1///CTNND1
		SPIDR
		WBP11
		TEX2
		ATP6V1A
		TMEM185B
		ATXN7
		POTEKP
		USP11
		PSMD2
		NET1
		IPO5
		GIGYF2
		SF3B2
		HIPK3
		MDH2
		APEX1
		PSEN2
		PLS3
		DAG1
		HIST1H2BE
		GNA13
		TRMT11
		WEE1
		NR2F2
		SMAP1
		TEAD4
		COMMD8
		POT1
		PTPRC
		COX6A1
		MYO1E
		PTTG1IP
		ME2
		PUM2
		GTF2IP4///GTF2IP1///GTF2I
		LOC101929356///ARL5A
		HN1L
		G3BP2
		FTO
		EID1
		IQCE
		EIF3A
		SPOP
		RPGRIP1L
		ZNF706
		PRPF31
		MUT
		CFL1
		HMG20A
		DYNLL1
		PHACTR2
		MIR6884///MED24
		SYNCRIP
		FAM179B
		ACVR1
		DNAAF2
		GOLGA2
		NIF3L1
		F2R
		HTATSF1
		HIST1H2BK
		IDH3G
		RAB11FIP1
		RPA3
		SNF8
		SEC62
		VPS54
		TM4SF1
		CHMP4A///TM9SF1
		MIR6734///ELOVL1
		PPIP5K2
		BRD2
		LAMP2
		GORASP2
		ELAVL1
		METTL13
		XRCC5
		RAB9A
		ERI3
		CD164
		LOC101930075///NPIPA8///NPIPA7///NPIPA5///NPIPA2///NPIPA3///PKD1P1///NPIPA1
		MROH7-TTC4///TTC4
		LARP4
		DNM1L
		SREBF1
		CLTB
		TMEM184C
		PEX12
		OVCA2///DPH1
		COMMD9
		RRP15
		ETV1
		MOCS2
		SLX1B-SULT1A4///SLX1A-SULT1A3///SULT1A4///SULT1A3
		REPIN1
		GOLPH3L
		ZNF652
		OAT
		CDYL
		RRN3
		TBCB
		ANKRA2
		SEC23B
		RFX5
		SPTLC1
		STAM
		MPPE1
		CSGALNACT2
		PTPN11
		CALML4
		DICER1
		PSMC2
		APEH
		CAPZA2
		CYFIP1
		SRI
		YWHAE
		ATP1B1
		TMEM222
		JTB
		KIF5B
		ATP5B
		POLR2I
		COPZ1
		RAI14
		EIF3CL///EIF3C
		ERAP1
		DSG2
		EVI5
		C11orf58
		SMIM10L1
		NEK7
		ACTR6
		C17orf75
		LEPROT
		TUFT1
		MYOF
		UBE2M
		SNX4
		COPS2
		PSMB2
		PIP5K1A
		PRELID3B
		CYC1
		UPK3BL///POLR2J3///POLR2J2///POLR2J4///POLR2J
		PLEKHA1
		IL1RAP
		UBXN2B
		PPIA
		CD46
		ERI2
		TUBB3
		S100A6
		DYNC1I2
		CSNK1A1
		RAB31
		UQCRHL///UQCRH
		SPIN1
		CTCF
		TMEM41B
		COASY
		DDX19A///DDX19B
		CLASP2
		SRP9
		KARS
		UFC1
		EIF4G1
		HSP90AA1
		UBE2G2
		BAG6
		DNAJC6
		ARPC2
		ACYP1
		PRKCSH
		TAX1BP1
		PHIP
		BRAP
		EBAG9
		MAPKAPK5
		NPEPPS
		SENP2
		CLIC3
		AAMP
		ZNF23
		SRSF10
		GALK2
		CLINT1
		ABI1
		P2RX5-TAX1BP3///TAX1BP3
		INTS9
		SRSF1
		BFAR
		AIMP1
		UBE2E1
		CPNE3
		BCL2L1
		MAPK3
		APLP2
		TGOLN2
		TMEM131
		LAS1L
		WTH3DI///RAB6C///RAB6A
		MTMR2
		ZCCHC8
		RAD17
		THUMPD1
		ATF6
		AK6///TAF9
		SERPINE1
		EIF2AK1
		CTBP2
		ARHGDIA
		CETN2
		10-Sep
		LOC101929087///SUMO2///SUMO3
		NPTN
		SPCS2
		YAP1
		SNRPB
		CLIP1
		H2BFS
		LOC101060817///GCSH
		RNF13
		ETNK1
		RRNAD1
		ANXA4
		ECI1
		CAST
		PGM3
		RNF6
		VDAC2
		BET1
		SNX17
		TOP1
GSE51024	5311	
		AACS
		CLMP
		FSTL1
		RPS11
		LOC283922///PDPR
		KRTCAP2
		SLMAP
		HAUS2
		LOC101929315
		ERCC5
		LOC100507506
		NDUFS6
		ERAL1
		ABCB7
		CYP11A1
		AEN
		LOC101928238
		KCNG1
		SALL1
		CADM4
		SLC25A3
		NAGPA
		TMSB10
		PXYLP1
		NHLRC3
		3-Sep
		GPR78///CPZ
		LOC100507387///FAM153A///FAM153B
		GP1BA
		LINC01279
		SLC6A11
		TOP1MT
		LOC157562
		MYO9B
		SMIM17
		C12orf66
		RDH10
		HS3ST3A1
		HIST1H4J
		UTY
		CENPQ
		TRIB3
		SLC2A5
		C2orf49
		CCNB1
		LOC171391
		TMEM42
		DIRAS1
		PNPT1
		ERV3-1
		MIER1
		GPR75-ASB3///ASB3///GPR75
		SNORD96A///SNORD95///RACK1
		LOC100507654
		STK16
		GDA
		SEMA4D
		HEPH
		AGPAT1
		THRAP3
		ADAM7
		GSTCD
		OSBPL8
		LRRN1
		IPO9
		ZFYVE1
		ARL17B///ARL17A
		CXCL13
		TEAD1
		SNX33
		NAT10
		C15orf41
		LEP
		LOC643085
		RP9P///RP9
		C20orf27
		OR7A17
		SUGCT
		FAHD1
		NMNAT1
		EPT1
		DIP2A
		CCDC34
		FAM129C
		BRCA1
		GEN1
		SLC26A10
		LPAR4
		LOC100507334///LOC100288570///LIMS3-LOC440895///LOC440895
		LOC401324
		OR51A1P
		ZNF623
		LOC100129917
		FLJ36840
		NOL8
		TRIQK
		BAZ1B
		SLCO2B1
		LMNB2
		VKORC1
		LARP7
		EED
		PDCD5
		FAHD2CP///FAHD2B///FAHD2A
		SLC8A1
		LINC01138
		ISL1
		CA11
		C1QTNF3
		NUDT1
		ACBD3
		ZNF83
		SEL1L3
		TRAF5
		WHSC1
		MIR6787///SLC16A3
		MIR4321///AMH
		DCAF4L1
