Names	total	elements
		ABCB1
		PCDHA2
		FAM171A1
		CC2D1A
		ITGB7
		CDH17
		IL17A
		ASPH
		CPA2
		MAP4K1
		HDGFRP3
		SV2B
		ADGRL1
		PDE9A
		CRYBA2
		LEF1
		GJA4
		CDC42SE1
		EMID1
		KRT24
		DLG4
		SLC13A2
		AIM1
		GSN
		EGR2
		ANK2
		SLC1A2
		LZTS1
		CPN1
		LOC101927181
		PCDHB17P
		SCD
		GRIN2B
		MPP2
		AGK
		CIDEA
		GRK2
		TNKS
		WAS
		NEUROD1
		IL17RB
		MCAM
		CDH6
		OR7C1
		AQR
		THG1L
		CYP2A13
		KCNH6
		FAM30A
		NMT2
		ACPP
		ATG9A
		CELF3
		KLHL25
		BUB1
		MYLPF
		SEPT5-GP1BB
		EGR3
		MYO7B
		OASL
		ACTN2
		ADCY10
		IGHM///IGHG1///IGHA1
		POU5F1P3
		IFNA16
		PTPN7
		MTMR9
		NUP210
		KCNQ1DN
		UBASH3A
		SCLY
		CA7
		ACAP1
		CXCR5
		MIR4656///AP5Z1
		VDR
		LOC101930361///LOC101929970///CHRFAM7A///CHRNA7
		ITGAM
		RGS2
		FASLG
		IL1RAPL2
		TBL1X
		EPHA3
		GPR65
		LINC00302
		TMEM51
		LHCGR
		PCDHA2///PCDHA3
		PMEL
		CHP2
		PLCG2
		TTR
		NCS1
		ONECUT1
		ELK1
		TCP10L
		GCC1
		ASB12///MTMR8
		SHPK///TRPV1
		CTSG
		SSX2B///SSX2
		SNPH
		GRIK1
		KCNJ4
		PSORS1C1
		CD5L
		OR3A3
		CT62
		TAF1
		AP1G2
		FUT9
		PMP2
		IFNG
		MYCBP2
		OGFOD3
		NPEPL1
		HCG4B
		BAZ2A
		FADS3
		CLU
		LOC100996542///GRM7
		SLC43A1
		FCGR2C
		ZNF460
		OPRD1
		CCL16
		AKAP9
		IGLC1
		GYPB
		C21orf62
		TNS4
		LOC101928278
		RAD54L
		VWA7
		ANK1
		PAK5
		CNTNAP2
		GABRR1
		PAX8
		SLC2A4
		ACAD10
		CATR1
		TRAC
		BLOC1S1-RDH5///RDH5
		CYP11B1
		VSX1
		6-Mar
		CD48
		SLC39A2
		MIR1204///PVT1
		TMEM121
		FAM3A
		TRIM10
		NDUFB2-AS1
		TMEM92-AS1
		SLC30A5
		MYO7A
		ROM1
		CD1E
		DNAJB5
		TMEM242
		NOL9
		HCRP1
		METTL4
		PPP1R16B
		GAS7
		MBD3
		CHD5
		TCTN2
		MMP25
		SLC35E3
		SHARPIN
		PRO1483
		MFSD13A
		CH17-360D5.1///NPY4R
		EFNA3
		AURKC
		CAMKK2
		SLC25A12
		KLK1
		GH1
		PNO1
		GNAT2
		GP5
		COL6A1
		IL11
		SV2C
		ARID4B
		ADAM22
		NR1I2
		CDC5L
		KCNJ5
		TBCD
		KPNB1
		ZBTB5
		CDKN2A
		RELN
		MFSD9
		LHX2
		ERN1
		NOTCH3
		AOAH
		RFPL1S///RFPL3S
		ATP1B3
		AP4E1
		RUNDC3A
		CTAGE8///CTAGE4///CTAGE9
		STUM
		NOTCH1
		SFRP1
		ADD2
		HLX
		ZNF200
		RXRB
		HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A
		CEP250
		INSL3
		EIF2B5
		VPS33A
		GRAP2
		SLC4A1
		C9orf78
		CSPG4
		G3BP1
		CCDC177
		FOXD4L1///FOXD4
		LPO
		HRG
		DKFZP434A062
		TCL6
		CD2BP2
		FGFR1
		CERK
		SPN
		LRRN2
		B3GAT1
		C10orf12
		LAX1
		ELOVL5
		PARP16
		NECTIN2
		SSTR2
		SLC1A7
		SPATA1
		HTR7
		EXOSC2
		FGF17
		IL17RC
		RBPJ
		ITGB1BP2
		CABP1
		MSH6
		ZNF556
		GH2///GH1///CSHL1///CSH1
		INSRR
		PLIN2
		YME1L1
		TPCN1
		SLC6A6
		TMEM151B
		ADAM19
		DAO
		PPFIA3
		CSPG4P1Y
		PHF7
		FOXB1
		APOBEC2
		SLAMF1
		FGF6
		PCDHGA1
		ZNF467
		PLD1
		CD300A
		ZNF79
		RARB
		AGGF1
		HOXD13
		TCF4
		CDY1
		NKTR
		RABEP2
		IL27RA
		IGLV1-44
		CBX6
		TPMT
		MTSS1L
		PLXNB3
		ZNF747
		SCN3A
		NPPA
		CARD14
		RPE65
		GRWD1
		TNF
		BFSP2
		OR2H1
		GRM6
		CRYBB3
		EDAR
		CAV3
		DSTYK
		ABCC2
		SOX10
		RARS2
		PDE6H
		LOC101928269///LOC100506403///RUNX1
		CST8
		RHPN1-AS1
		BTNL3
		TRPA1
		BMP7
		SLC7A4
		CD2
		CYP2C9
		FCAR
		KRT83
		CYP2A7
		CA5A
		S100B
		UGT2A3
		SST
		LOC101930343///CATSPER2P1///CATSPER2
		KIAA0485
		HTR5A
		TRPC4
		POFUT2
		TMC6
		RIMS1
		TMPRSS11D
		TRIM14
		ENPP2
		PIK3CD
		OR10H2
		TGFB1
		VPS53
		FZD10
		SAR1A
		BCL11B
		TMEM259
		GPR18
		AQP6
		KCNIP1
		HUNK
		TREML2
		ELL3
		LOC101930531///LOC101930278///FRG1CP///FRG1
		TNFRSF25
		CREM
		ATP2A3
		GREB1L
		MS4A3
		FKBP8
		LOC101929165
		ABCC9
		INSL6
		PRSS3P2
		CRADD
		LECT1
		COL9A1
		COL5A3
		SIKE1
		SRCAP
		SLC1A6
		INS
		ZNF835
		TRAV8-3
		PDIA2
		ALOXE3
		ZNF528
		EFNA5
		MFSD7
		IFNA7
		TSSC4
		MEF2B///BORCS8///BORCS8-MEF2B
		CHRNA6
		BPESC1
		RPS6
		KIAA1644
		APOL5
		GNAZ
		LINS1
		BTN2A2
		PIP4K2A
		TCL1A
		ENOX1
		CXCR3
		AKAP6
		NPHS2
		SLC2A6
		SELPLG
		AKAP12
		APOD
		IFNW1
		SCN1B
		RFC1
		VAMP5
		PIK3R2
		FCGR3B
		LOC100130741
		CYP3A43
		SPTA1
		GCKR
		VARS
		RAX
		OXCT2
		GGCX
		BTN2A3P
		FGF5
		CSPG5
		PHLDA2
		PSMD4
		SLC35D1
		SLC29A1
		TP53I11
		ST3GAL4
		MINA
		ADAM18
		TP53TG3B///TP53TG3D///TP53TG3C///TP53TG3
		DPEP1
		OAZ3
		TMEM87A
		NRIP2
		GOSR2
		AKAP8L
		TNFRSF13B
		NR1D1///THRA
		NAV3
		ATP6V1G2
		PAXBP1
		ERVMER34-1
		MED24
		PDCD1
		ATP6V0A1
		FAM53B
		RRN3P1///RRN3P2///RRN3
		ANKRD53
		SLC7A1
		CHRNA3
		MYOG
		SEMA4F
		RPL37A
		CPS1
		PIAS4
		TOR4A
		PCDHGB6
		CUTC
		CD22
		FCGR1A
		IMPDH1
		PPP1R1A
		AHSG
		ICOS
		WFDC8
		ACTA1
		GABBR2
		SNX15
		RNF8
		UBE3A
		TSSK2
		EXOC7
		KIAA1654
		GRIA4
		PLPPR4
		DKKL1
		LOC101927792
		OVCA2///DPH1
		KRT84
		LIMK1
		LOC101929540///LOC101928670///LOC101928344///LOC100996442///LOC100288069///LOC100134822
		PMCHL1
		TBX6
		TCN2
		HAP1
		MAP3K11
		SCAF4
		ESR2
		SPAG11A///SPAG11B
		SF3B3
		CPNE7
		EPHB4
		TEX15
		PDE4A
		VPS45
		TRMT61A
		SPC24
		BMP8B
		CD1C
		L3MBTL1
		CCL13
		KRTAP2-3///KRTAP2-4
		LOC100294145
		PRCP
		YIF1B
		OCLM
		MYL4
		RNF25
		KLK14
		PROZ
		NUP214
		FABP7
		MAGEC3
		CD1D
		CYLC2
		FASN
		PHLPP2
		AMBP
		AKAP7
		CROCC
		ARHGEF7
		NR1H3
		ADAM5
		C16orf59
		RPGRIP1
		MEOX1
		DAB1
		SYT2
		GGA3
		SNTG1
		FOLH1
		EXOC6B
		SUPT20H///DES
		SLC25A16
		TRIM3
		PQBP1
		REST
		MUC7
		BDKRB2
		HIST1H4G
		MIR6125///USP15
		ADAMTS9
		CCHCR1
		HOXB3
		IGFALS
		E2F1
		CLP1
		NRP2
		FUT6
		MSH5-SAPCD1///SAPCD1
		CDX2
		HOXB13
		SPAM1
		JAG1
		CACNA1B
		RAB26
		CACNG4
		MYBL2
		NAGA
		MAPT
		ZNF771
		GJB3
		SCRG1
		PTGES3L-AARSD1///PTGES3L///AARSD1
		OGG1
		NYX
		DLX6
		MAP2K6
		MYBPH
		ZC3HAV1
		TXNRD2
		TNFRSF4
		LOC101929219///LOC100505650///C1orf186
		CSK
		RAB27B
		SNAP25
		FBLN1
		PRKAB2
		DKFZP434L187
		LYST
		LTB4R2
		NCR3
		IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHA2///IGHA1
		INSL5
		SMOX
		PSMB2
		LTB
		PHOX2A
		ZNF221
		ITPKA
		B4GALT6
		TNNI2
		ASIC1
		HR
		ETV4
		LOC100293211
		DEFB4B///DEFB4A
		ALDH1B1
		KLHL35
		ALPPL2
		SULT2A1
		CTRB2
		GNG4
		FAM53C
		CIDEC
		KDM8
		TMEM147-AS1
		PAPPA2
		SLC12A9
		HAPLN2
		AGFG2
		ISG20L2
		TAF4
		SLC17A7
		RHCG
		SLC7A10
		VPS13A
		AVPR2
		CRYGB
		NTRK3
		ZNF444
		OR12D2
		TBL2
		TMEM187
		AIMP2
		AP3B2
		TMEM184B
		SNTB2
		ACADS
		MKRN2
		KCNA10
		KRTAP1-1
		HHAT
		ADGRA2
		ANGPT2
		PLIN1
		TMSB4Y
		PHLDB1
		CLOCK
		SLC37A4
		ZNF45
		IGHM///IGHG1///IGHD
		RXRG
		PGP
		TBC1D4
		RPIA
		HIST1H1B
		NPHP4
		PML
		FKSG49
		ZC3H7B
		AFF2
		VCPKMT
		SHISA6
		MLLT1
		ATP1A2
		RBP4
		MIR492///KRT19P2
		KNL1
		BPTF
		NXPE4
		EPB41L2
		ADAMTS1
		ACKR1
		ETFDH
		SLC15A1
		IL37
		TAT
		IGK
		KLK13
		MB
		KCNAB2
		TTC28
		DCAF15
		SYMPK
		ADORA1
		SEMA6C
		SLC1A4
		CHRNA4
		SPDEF
		EDDM3A
		CACNG3
		TROVE2
		NCR1
		RECK
		CD19
		PCDHGB5
		LHX6
		JARID2
		ITIH2
		LOC100996756
		TRIM44
		SIDT2
		HOXA4
		RPL27A
		SERHL2
		PRLR
		HSF1
		ALPI
		DR1
		LOC100505534
		LOC100129973
		OPRM1
		SYCP2
		KCNC4
		LECT2
		RAB30
		TCF3
		CCR10
		HFE
